,year,movie,movie_id,certificate,duration,genre,rate,metascore,synopsis,votes,release_date,user_reviews,critic_reviews,popularity,awards_wins,awards_nominations
27,2001,Ghost World,tt0162346,R,111,Comedy|Drama,7.400000099999999,88.0,"With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",98471,2001-09-21,489.0,123.0,2232.0,4,21
28,2001,Jurassic Park III,tt0163025,PG-13,92,Action|Adventure|Sci-Fi,5.9000001,42.0,"A decidedly odd couple with ulterior motives convince Dr. Alan Grant to go to Isla Sorna (the second InGen dinosaur lab.), resulting in an unexpected landing...and unexpected new inhabitants on the island.",227486,2001-07-18,1247.0,197.0,2041.0,0,1
29,2000,The Beach,tt0163978,R,119,Adventure|Drama|Romance,6.599999900000001,43.0,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",182324,2000-02-11,553.0,118.0,1240.0,0,0
30,2000,Hollow Man,tt0164052,R,112,Action|Horror|Sci-Fi,5.69999981,24.0,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",104404,2000-08-04,630.0,177.0,2149.0,0,0
31,2002,The Sum of All Fears,tt0164184,PG-13,124,Action|Drama|Thriller,6.4000001,45.0,CIA analyst Jack Ryan must stop the plans of a Neo Nazis faction that threatens to induce a catastrophic conflict between the United States and Russia's newly elected president by detonating a nuclear weapon at a football game in Baltimore.,88382,2002-05-31,568.0,176.0,1974.0,0,0
32,2001,Along Came a Spider,tt0164334,R,104,Crime|Drama|Thriller,6.30000019,42.0,"When a congressman's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner.",60579,2001-04-06,318.0,133.0,1872.0,0,0
33,2000,Romeo Must Die,tt0165929,R,115,Action|Crime|Thriller,6.0999999,52.0,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,58111,2000-03-22,368.0,69.0,2339.0,0,0
34,2002,Spirit: Stallion of the Cimarron,tt0166813,G,83,Animation|Adventure|Family,7.099999900000001,52.0,"A wild stallion is captured by humans and slowly loses the will to resist training. Yet throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",46943,2002-05-24,219.0,105.0,3222.0,0,4
35,2001,Mulholland Drive,tt0166924,R,147,Drama|Mystery|Thriller,8.0,81.0,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",247207,2001-10-19,1778.0,253.0,564.0,11,29
36,2004,Hellboy,tt0167190,PG-13,122,Action|Fantasy|Horror,6.80000019,72.0,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",250754,2004-04-02,602.0,243.0,1092.0,0,1
37,2003,The Lord of the Rings: The Return of the King,tt0167260,PG-13,201,Adventure|Drama|Fantasy,8.89999962,94.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1264277,2003-12-17,3213.0,325.0,327.0,48,72
38,2002,The Lord of the Rings: The Two Towers,tt0167261,PG-13,179,Adventure|Drama|Fantasy,8.69999981,88.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",1145458,2002-12-18,2424.0,292.0,590.0,25,60
39,2000,Dancer in the Dark,tt0168629,R,140,Crime|Drama|Musical,8.0,61.0,"An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",82205,2000-10-06,693.0,125.0,3270.0,3,17
40,2001,Lagaan: Once Upon a Time in India,tt0169102,PG,224,Adventure|Drama|Musical,8.19999981,84.0,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,77479,2002-05-08,248.0,69.0,3473.0,0,0
41,2000,How the Grinch Stole Christmas,tt0170016,PG,104,Comedy|Family|Fantasy,6.0,46.0,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",150313,2000-11-17,489.0,176.0,1593.0,2,9
42,2003,Bad Boys II,tt0172156,R,147,Action|Comedy|Crime,6.599999900000001,38.0,Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida.,183145,2003-07-18,513.0,94.0,1569.0,0,0
43,2000,Gladiator,tt0172495,R,155,Action|Adventure|Drama,8.5,64.0,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",1024040,2000-05-05,2380.0,265.0,365.0,18,51
44,2000,Scary Movie,tt0175142,R,88,Comedy,6.19999981,48.0,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer.",192128,2000-07-07,895.0,94.0,1213.0,0,0
45,2000,The Perfect Storm,tt0177971,PG-13,130,Action|Adventure|Drama,6.4000001,59.0,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,135888,2000-06-30,781.0,229.0,3304.0,1,7
46,2000,Quills,tt0180073,R,124,Biography|Drama,7.400000099999999,70.0,"In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor.",45631,2000-12-25,313.0,132.0,3271.0,3,23
47,2000,Requiem for a Dream,tt0180093,R,102,Drama,8.39999962,68.0,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,596759,2000-12-15,1930.0,238.0,245.0,9,28
48,2002,Minority Report,tt0181689,PG-13,145,Action|Mystery|Sci-Fi,7.69999981,80.0,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.",413070,2002-06-21,1338.0,251.0,874.0,4,26
49,2003,Terminator 3: Rise of the Machines,tt0181852,R,109,Action|Sci-Fi|Thriller,6.4000001,66.0,A cybernetic warrior from a post-apocalyptic future travels back in time to protect a 25-year old drifter and his future wife from a most advanced robotic assassin and to ensure they both survive a nuclear attack.,313931,2003-07-02,1680.0,278.0,1166.0,0,0
50,2000,Traffic,tt0181865,R,147,Crime|Drama|Thriller,7.599999900000001,86.0,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business.",173632,2001-01-05,871.0,220.0,1469.0,18,47
51,2000,Almost Famous,tt0181875,R,122,Adventure|Comedy|Drama,7.900000099999999,90.0,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,212643,2000-09-22,826.0,146.0,1002.0,22,55
52,2000,Boiler Room,tt0181984,R,120,Crime|Drama|Thriller,7.0,63.0,"A college dropout gets a job as a broker for a suburban investment firm, which puts him on the fast track to success, but the job might not be as legitimate as it sounds.",42344,2000-02-18,246.0,131.0,2410.0,0,2
53,2000,"Me, Myself & Irene",tt0183505,R,116,Comedy,6.5,49.0,A nice-guy cop with dissociative identity disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,190379,2000-06-23,483.0,154.0,2501.0,0,0
54,2000,Pollock,tt0183659,R,122,Biography|Drama,7.0,77.0,"A film about the life and career of the American painter, Jackson Pollock.",23585,2001-03-23,148.0,114.0,,1,2
55,2001,A Knight's Tale,tt0183790,PG-13,132,Action|Adventure|Romance,6.900000099999999,54.0,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight.",140668,2001-05-11,659.0,165.0,1236.0,1,1
56,2000,Wonder Boys,tt0185014,R,107,Comedy|Drama,7.400000099999999,73.0,"An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in.",55707,2000-02-25,338.0,172.0,,9,30
57,2000,Battlefield Earth,tt0185183,PG-13,118,Action|Adventure|Sci-Fi,2.4000001,9.0,"After enslavement and near extermination by an alien race in the year 3000, humanity begins to fight back.",66552,2000-05-12,1311.0,173.0,1982.0,0,0
58,2000,Little Nicky,tt0185431,PG-13,90,Comedy|Fantasy,5.30000019,38.0,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.",82544,2000-11-10,238.0,86.0,2772.0,0,0
59,2000,Frequency,tt0186151,PG-13,118,Crime|Drama|Mystery,7.400000099999999,67.0,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.",84574,2000-04-28,511.0,170.0,2283.0,0,2
60,2000,Space Cowboys,tt0186566,PG-13,130,Action|Adventure|Thriller,6.4000001,73.0,"When a retired engineer is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.",61837,2000-08-04,328.0,166.0,3244.0,0,0
61,2000,Gone in Sixty Seconds,tt0187078,PG-13,118,Action|Crime|Thriller,6.5,35.0,A retired master car thief must come back to the industry and steal 50 cars with his crew in one night to save his brother's life.,223486,2000-06-09,503.0,175.0,1388.0,0,0
62,2000,The Patriot,tt0187393,R,165,Action|Drama|History,7.099999900000001,63.0,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,213438,2000-06-28,1147.0,190.0,884.0,0,2
63,2002,Blade II,tt0187738,R,117,Action|Horror|Sci-Fi,6.69999981,52.0,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",164050,2002-03-22,562.0,224.0,1700.0,0,0
64,2000,Shadow of the Vampire,tt0189998,R,92,Drama|Horror,6.900000099999999,71.0,The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.,34859,2001-01-26,340.0,199.0,,3,8
65,2000,"Crouching Tiger, Hidden Dragon",tt0190332,PG-13,120,Action|Adventure|Fantasy,7.900000099999999,93.0,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically skilled, adolescent nobleman's daughter, who is at a crossroads in her life.",221957,2001-01-12,1645.0,288.0,2121.0,28,66
66,2000,"O Brother, Where Art Thou?",tt0190590,PG-13,107,Adventure|Comedy|Crime,7.80000019,69.0,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",232646,2001-02-02,867.0,201.0,970.0,1,11
67,2000,Vatel,tt0190861,PG-13,103,Biography|Drama|Romance,6.599999900000001,44.0,"In 1671, with war brewing with Holland, a penniless prince invites Louis XIV to three days of festivities at a chateau in Chantilly. The prince wants a commission as a general, so the ... See full summary И",6463,2000-05-10,45.0,31.0,,0,0
68,2000,Vertical Limit,tt0190865,PG-13,124,Action|Adventure|Drama,5.9000001,48.0,"A climber must rescue his sister on top of K2, one of the world's biggest mountains.",50576,2000-12-08,380.0,131.0,2228.0,0,1
69,2000,The Replacements,tt0191397,PG-13,118,Comedy|Sport,6.5,30.0,"During a pro football strike, the owners hire substitute players.",49276,2000-08-11,260.0,119.0,699.0,0,0
70,2000,Erin Brockovich,tt0195685,R,131,Biography|Drama,7.30000019,73.0,An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.,139323,2000-03-17,500.0,166.0,1230.0,13,38
71,2000,Final Destination,tt0195714,R,98,Horror|Thriller,6.69999981,36.0,"After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.",186452,2000-03-17,675.0,211.0,1432.0,0,0
72,2001,Zoolander,tt0196229,PG-13,90,Comedy,6.599999900000001,61.0,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",207208,2001-09-28,526.0,135.0,1460.0,0,0
73,2000,Where the Heart Is,tt0198021,PG-13,120,Comedy|Drama|Romance,6.80000019,30.0,"A pregnant 17-year-old rebuilds her life after being abandoned by her boyfriend at a Wal-Mart in Sequoyah, Oklahoma.",27563,2000-04-28,240.0,78.0,2755.0,0,0
74,2001,"Monsters, Inc.",tt0198781,G,92,Animation|Adventure|Comedy,8.10000038,78.0,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.",614220,2001-11-02,596.0,249.0,1023.0,1,8
75,2000,Love & Basketball,tt0199725,PG-13,124,Drama|Romance|Sport,7.19999981,70.0,"In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with ... See full summary »",14809,2000-04-21,116.0,67.0,1727.0,0,0
76,2000,Coyote Ugly,tt0200550,PG-13,100,Comedy|Drama|Music,5.5999999,27.0,"Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell.",92599,2000-08-04,378.0,154.0,1673.0,0,0
77,2001,Moulin Rouge!,tt0203009,PG-13,127,Drama|Musical|Romance,7.599999900000001,66.0,A poet falls for a beautiful courtesan whom a jealous duke covets.,229031,2001-06-01,2323.0,209.0,947.0,24,62
78,2000,Men of Honor,tt0203019,R,129,Biography|Drama,7.19999981,56.0,"The story of Carl Brashear, the first African American, then also the first amputee, US Navy Diver and the man who trained him.",91691,2000-11-10,233.0,97.0,2837.0,0,0
79,2000,Sexy Beast,tt0203119,R,89,Crime|Thriller,7.30000019,79.0,"Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them.",44469,2001-07-13,349.0,148.0,2800.0,3,9
80,2000,You Can Count on Me,tt0203230,R,111,Drama,7.69999981,85.0,"A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town.",23102,2000-12-22,232.0,124.0,1922.0,7,19
81,2000,The Watcher,tt0204626,R,97,Crime|Horror|Mystery,5.30000019,22.0,"David Allen Griffin is a cool killer- time and time again, he chooses a female victim, studies her for weeks till he knows her routine to the smallest detail, makes meticulous preparations ... See full summary »",22568,2000-09-08,182.0,103.0,2819.0,0,0
82,2000,Bring It On,tt0204946,PG-13,98,Comedy|Romance|Sport,5.9000001,52.0,A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.,71924,2000-08-25,384.0,138.0,1386.0,0,0
83,2006,Children of Men,tt0206634,R,109,Drama|Sci-Fi|Thriller,7.900000099999999,84.0,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",374207,2007-01-05,1223.0,375.0,581.0,13,31
84,2000,What Women Want,tt0207201,PG-13,127,Comedy|Fantasy|Romance,6.4000001,47.0,"After an accident, a chauvinistic executive gains the ability to hear what women are really thinking.",163233,2000-12-15,396.0,151.0,2292.0,0,1
85,2000,Snatch,tt0208092,R,102,Comedy|Crime,8.30000019,55.0,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",623296,2001-01-19,735.0,151.0,307.0,0,0
86,2000,The Contender,tt0208874,R,126,Drama|Thriller,7.0,59.0,"Senator Laine Hanson is a contender for US Vice President, but information and disinformation about her past surfaces that threatens to de-rail her confirmation.",20825,2000-10-13,370.0,139.0,,0,6
87,2000,Everybody's Famous!,tt0209037,R,97,Comedy|Drama|Music,7.0,60.0,"Jean is a family man and factory worker who dreams of becoming a songwriter. Pinning his hopes on his teenage daughter, Marva, he takes her to singing contests in which the awkward and ... See full summary И",2837,2000-04-12,38.0,35.0,,0,0
88,2002,Ken Park,tt0209077,Not Rated,93,Drama,5.9000001,,Ken Park is about several Californian skateboarders' lives and relationships with and without their parents.,25403,2003-04-03,158.0,87.0,2211.0,0,0
89,2000,Memento,tt0209144,R,113,Mystery|Thriller,8.5,80.0,A man juggles searching for his wife's murderer and keeping his short-term memory loss from being an obstacle.,879688,2001-05-25,2078.0,274.0,441.0,10,26
90,2001,The Mummy Returns,tt0209163,PG-13,130,Action|Adventure|Fantasy,6.30000019,48.0,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",253782,2001-05-04,895.0,202.0,1091.0,0,0
91,2001,"Wedding Planner - verliebt, verlobt, verplant",tt0209475,PG-13,103,Comedy|Romance,5.19999981,33.0,Mary Fiore is San Francisco's most successful supplier of romance and glamor. She knows all the tricks. She knows all the rules. But then she breaks the most important rule of all: she falls in love with the groom.,63095,2001-01-26,229.0,107.0,2415.0,0,0
92,2000,The Cell,tt0209958,R,107,Horror|Sci-Fi|Thriller,6.30000019,40.0,"An FBI agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim.",81554,2000-08-18,678.0,226.0,982.0,2,5
93,2000,Remember the Titans,tt0210945,PG,113,Biography|Drama|Sport,7.80000019,48.0,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,165555,2000-09-29,403.0,156.0,767.0,0,0
94,2000,102 Dalmatians,tt0211181,G,100,Adventure|Comedy|Family,4.80000019,35.0,Cruella DeVil gets out of prison and goes after them darned puppies once more.,27364,2000-11-22,77.0,83.0,,0,0
95,2001,Jason X,tt0211443,R,91,Action|Horror|Sci-Fi,4.4000001,25.0,"Jason Voorhees returns with a new look, a new machete, and his same murderous attitude as he is awakened on a spaceship in the 25th century.",40185,2002-04-26,678.0,204.0,1425.0,0,0
96,2001,AmЋlie,tt0211915,R,122,Comedy|Romance,8.39999962,69.0,"AmЋlie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",559498,2002-02-08,1327.0,245.0,680.0,7,20
97,2000,Meet the Parents,tt0212338,PG-13,108,Comedy|Romance,7.0,73.0,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",267609,2000-10-06,508.0,148.0,2322.0,1,2
98,2000,Miss Congeniality,tt0212346,PG-13,109,Action|Comedy|Crime,6.19999981,43.0,An FBI agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.,142566,2000-12-22,371.0,140.0,1384.0,0,2
99,2001,A.I. Artificial Intelligence,tt0212720,PG-13,146,Adventure|Drama|Sci-Fi,7.099999900000001,65.0,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",245306,2001-06-29,2159.0,281.0,1157.0,2,22
100,2001,Hannibal,tt0212985,R,131,Crime|Drama|Thriller,6.80000019,57.0,"Living in exile, Hannibal Lecter tries to reconnect with now disgraced FBI agent Clarice Starling and finds himself a target for revenge from a powerful victim.",213634,2001-02-09,1365.0,276.0,896.0,0,0
101,2001,Pearl Harbor,tt0213149,PG-13,183,Action|Drama|History,6.0999999,44.0,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,262093,2001-05-25,1998.0,191.0,314.0,0,7
102,2000,MalЏna,tt0213847,R,109,Comedy|Drama|Romance,7.5,54.0,A woman provokes sensual awakenings in a group of adolescent boys.,68675,2001-02-02,223.0,86.0,1623.0,0,4
103,2000,Road Trip,tt0215129,R,93,Adventure|Comedy,6.5,55.0,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.,136119,2000-05-19,303.0,103.0,1812.0,0,0
104,2001,Enemy at the Gates,tt0215750,R,131,Drama|History|War,7.599999900000001,53.0,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,195763,2001-03-16,664.0,186.0,1228.0,0,0
105,2000,The Taste of Others,tt0216787,R,112,Comedy|Drama|Romance,7.30000019,78.0,"Three men, three women, opposites, possibilities, and tastes. Castella owns a industrial steel barrel plant in Rouen; Bruno is his flute-playing driver, Franck is his temporary bodyguard ... See full summary И",7932,2000-11-17,48.0,55.0,,0,0
106,2002,Gangs of New York,tt0217505,R,167,Crime|Drama,7.5,72.0,"In 1863, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer.",324867,2002-12-20,1184.0,232.0,267.0,13,51
107,2000,Unbreakable,tt0217869,PG-13,106,Drama|Mystery|Sci-Fi,7.19999981,62.0,A man learns something extraordinary about himself after a devastating accident.,251457,2000-11-22,1356.0,293.0,184.0,0,2
108,2001,Original Sin,tt0218922,R,116,Drama|Mystery|Romance,6.0,33.0,"A woman along with her lover, plan to con a rich man by marrying him and on earning his trust running away with all his money. Everything goes as planned until she actually begins to fall in love with him.",45973,2001-08-03,181.0,91.0,2280.0,0,0
109,2000,The Family Man,tt0218967,PG-13,125,Comedy|Drama|Fantasy,6.69999981,42.0,"A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife.",88458,2000-12-22,324.0,124.0,2103.0,0,0
110,2000,The Gift,tt0219699,R,111,Drama|Fantasy|Horror,6.69999981,62.0,A woman with extrasensory perception is asked to help find a young woman who has disappeared.,53408,2001-01-19,331.0,169.0,2608.0,0,0
